User Id,Email,Emotion,Date
8da9ce79-f0c2-4cf2-983a-c69e5046e08d, Heidi.Phillips@jetsilk.com,Shame,05-14-18,
f2234df1-325c-4c28-bec4-80c66f3281ba, Gallagher.Robertson@kegular.com,Amused,01-12-18,
09a007e0-86c5-4a23-9bde-bfb60e323108, Chandler.Conley@zensure.com,Pensive,05-15-18,
214bd050-eb01-4ad2-8ad0-d31dab5d6df1, Ivy.Hurley@tingles.com,Pity,05-06-18,
af2364cd-ce5a-43bb-be40-f8cdeba591bc, Lott.Mercado@eschoir.com,Amused,02-18-18,
8053223f-5ef5-4d13-bc83-19ccf4430c05, Sanchez.Underwood@kraggle.com,Bored,07-22-18,
f1035854-0650-427a-bef1-3fe1428a4d90, Lane.Pittman@hairport.com,Focused,04-20-18,
497ef05c-c7c0-4880-82c8-0b9727504018, Lucy.Ball@overplex.com,Bored,01-27-18,
c7f848bd-4f69-44e1-8019-886f79863cd6, Peck.Hill@bugsall.com,Amused,07-14-18,
71f434bf-8155-4e5c-bda4-0f652d9e6c56, Cummings.Duncan@quadeebo.com,Confused,05-30-18,
dfbe9a00-8d63-47a9-89f6-5f5796c2b378, Neal.Warner@centrexin.com,Bored,09-06-18,
47ffa653-cd09-4568-a8ec-c9f0869c944b, Stephenson.Martinez@xerex.com,Disgust,01-27-18,
819e522f-204e-4d15-96f1-834ff7d34929, Ladonna.Dixon@zilladyne.com,Shame,06-07-18,
62716154-ab8a-4170-a175-8e6451f7eb0d, Savannah.Glass@orbaxter.com,Shame,05-28-18,
79335fcf-0f3d-42f2-8344-39bcd70e76f1, Mai.Neal@comtent.com,Focused,07-01-18,
32f3a359-58ad-4a39-a566-4acf886a73d3, Ramos.Benson@datagen.com,Depressed,01-31-18,
7a65a4ff-0ccf-41b3-9701-98ba27070734, Silvia.Horton@boilcat.com,Focused,01-18-18,
6657665f-322a-43c4-9b63-72639af10673, Carey.Dale@zolavo.com,Pity,08-23-18,
ad9d6b24-b00f-465a-b11f-edf528d4b589, David.Newman@radiantix.com,Bored,06-15-18,
df43a217-f32a-4041-aefe-0655973dce4f, Garcia.Turner@halap.com,Amused,03-20-18,
45741ab9-c3bb-44de-8a43-72b9c57cd637, Geneva.Myers@virva.com,Focused,02-08-18,
dcdb21cc-92d1-4376-bb0e-a845df191959, Waller.Griffin@strezzo.com,Angry,04-26-18,
e3ff8801-8fd0-42d4-8ada-b3a471a74e4d, Angelita.Singleton@oulu.com,Disgust,03-31-18,
d2dee256-ffdc-4ec4-9661-26ae4474e01d, Levine.Branch@utara.com,Pity,01-03-18,
d52ee908-8e40-4b86-8a23-c4cf4efbcccf, Fletcher.Chandler@neocent.com,Excited,05-13-18,
453b144c-afe1-407b-aac1-c315087110fa, Rachael.Luna@parcoe.com,Focused,05-04-18,
e4d8e987-7435-42e4-abbc-10b2f20905d6, Elba.Mills@cowtown.com,Focused,07-19-18,
91acdec6-d1b4-4669-8f9c-6f77f98c54cb, Hogan.Lang@zipak.com,Angry,08-18-18,
58f2e398-de4a-4d57-b336-37d38bc29e61, Louise.Gilbert@synkgen.com,Pity,05-02-18,
ffa19890-8a78-46a8-99ee-49b7c130f6a4, Griffin.Bauer@viasia.com,Indifferent,08-28-18,
f0f4f23e-c379-4788-a8fd-b1987ab02dda, Whitehead.Castillo@aquamate.com,Pensive,04-17-18,
6f010830-10b6-45c8-b600-61247377452b, Parrish.Salinas@talae.com,Amused,03-29-18,
b19cc7c1-fa9b-456c-8304-c4036becb1bd, Wise.Little@biotica.com,Shame,02-27-18,
dc10f88a-10c7-4688-8c38-e82a0c74130d, Penelope.Sanchez@quantalia.com,Loved,02-18-18,
ceab40aa-628e-4232-911e-a9da6d96b048, Jennings.Soto@netility.com,Happy,08-11-18,
e9dbcb6c-a38d-4fc5-a5db-51e9a44f9380, Keisha.Delacruz@portaline.com,Anxious,01-23-18,
dac05a7c-eb67-4642-a675-444c866c9dad, Young.Tanner@softmicro.com,Pity,03-30-18,
e7762083-bd9f-4a0f-8529-126fa7d247af, Talley.Dunn@qaboos.com,Indifferent,01-07-18,
c3bf4865-1d5c-48db-929f-ebf5cdfd14d8, Ericka.Carr@orbixtar.com,Pensive,06-19-18,
04ad9c45-77ba-4de6-90ea-e7f89214e346, Meyer.Beard@otherside.com,Loved,08-27-18,
29faa55d-efa2-495a-bf4e-0ec487e33946, Brenda.Dejesus@futurize.com,Loved,01-16-18,
c88e2dd3-32f8-4548-b0cd-150792e3c367, Carrie.Best@tri@tribalog.com,Amused,08-12-18,
f254d136-0785-44eb-baf8-10a287e1590c, Rosalinda.Baxter@austech.com,Pensive,04-21-18,
97922919-13b1-47ad-8f77-982d742c422d, Mcbride.Pace@twiggery.com,Anxious,05-01-18,
3d8ee6a8-70af-4b86-bc6d-be7e480356e9, Winters.Pacheco@comverges.com,Pensive,07-12-18,
53987038-25cb-479f-a694-8078cb7a4e31, Woodard.Bennett@zentility.com,Anxious,04-08-18,
aa11867f-ffed-4337-b1d1-5a6215616c84, Vincent.Trujillo@terascape.com,Indifferent,05-12-18,
d153ca69-2996-4b74-96f6-1cddce0f35a7, Candace.Stout@luxuria.com,Indifferent,08-17-18,
0c09f122-cc6b-450c-8551-3af672466333, Snider.Rivera@zidant.com,Depressed,09-05-18,
f707216a-cff1-4df1-a5f2-51a2e4073abb, Rosa.Ramos@digique.com,Bored,01-23-18,
040bd846-b13e-4898-9b99-5aebb04f9c01, Buchanan.Gonzales@deminimum.com,Disgust,02-26-18,
a8ac5a36-8980-4dfc-b6a1-1802c3c1f87e, Mosley.Bryant@autograte.com,Shame,08-07-18,
9129f79e-d17d-4d1f-a532-5a7a22918390, Deana.Bullock@comfirm.com,Shame,01-03-18,
14f5a06f-6dd3-4a3e-a9b5-15d9719914cf, Lindsey.Bridges@cognicode.com,Disgust,06-03-18,
4619eec2-e171-4d72-8513-a21cf8a9f836, Mason.Cross@sarasonic.com,Angry,02-09-18,
0ec8fca2-8971-4c30-a533-8f6fad0b6a03, Esther.Oliver@viagreat.com,Appreciated,08-04-18,
5ee14359-5381-4314-b7b4-4b847967a973, Johns.Gentry@exoblue.com,Shame,01-15-18,
ffca903c-2c76-493b-a687-9d9fa229cd5c, Dunlap.Martin@nikuda.com,Indifferent,05-15-18,
a5d44cb3-854f-47ee-bcff-5ae94112d819, Letitia.Gilmore@mixers.com,Disgust,04-26-18,
590f8868-d357-485e-9611-eb62cf6541a1, Cantrell.Duffy@ziore.com,Indifferent,01-08-18,
6f80e864-194a-4864-91b4-25a19f5bd726, Ramirez.Nolan@manglo.com,Happy,03-31-18,
6cbbc455-8f7a-4639-abec-24234a582c1a, Misty.Haley@spherix.com,Anxious,07-01-18,
ab342222-884d-4e72-99e4-fab30183086e, Stephens.Copeland@zedalis.com,Pity,04-20-18,
fe2765aa-89f0-4b20-a2b2-970e4f3af15e, Catalina.Moody@geekwagon.com,Focused,06-12-18,
e7dcb6b0-6a92-4fe4-b11a-5e89b36d86b3, Mcintyre.Garza@anixang.com,Pensive,01-06-18,
d447e96b-336d-4049-98dc-8e066f0f8391, Mari.Lane@accruex.com,Angry,07-04-18,
e691e5d0-6926-4a5e-bef1-9cb25ca51716, Weaver.Ayers@rodeocean.com,Pensive,06-12-18,
92c83d8c-5590-4bdc-bb7c-e9165f2e51f3, Kendra.Bernard@zolar.com,Appreciated,01-24-18,
38051f89-780c-4e00-9761-6adaf8b6494c, Claire.Cole@aquasure.com,Excited,04-12-18,
454b6131-9d80-4184-b77e-660f40a7424b, Schwartz.Erickson@buzzopia.com,Focused,07-17-18,
b9d85016-bebe-484f-8f88-69d1bffd8802, Liza.Schultz@unisure.com,Amused,08-04-18,
ba9d37d1-e048-4c96-a69a-3ebaaec6f334, Cherry.Walter@combogen.com,Pensive,06-15-18,
5fe4331f-57ff-448c-a4ac-ab4b5270a20f, Padilla.Mckinney@kindaloo.com,Indifferent,08-11-18,
0a681063-ea97-4d12-b191-6a92a3eac0c7, Sheila.Gates@tourmania.com,Indifferent,03-11-18
